브랜드명,총건수,지점명비율,표기변형목록,대표주소예시,판정,판정근거,경계사례
경성상회,8,0.00,,부산광역시 서구 충무대로 226,제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
광명상회,8,0.00,,부산광역시 사상구 농산물시장로25번길 70(엄궁동),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
동서가구,8,0.12,,부산광역시 동구 중앙대로 475(좌천동),제외,빈도 8·지점비율 12% <40% → 일반상호 제외,Y
유진,8,0.00,,부산광역시 동구 진시장로 24 (범일동),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
타임,8,0.12,,부산광역시 동구 진시장로 24 (범일동),제외,빈도 8·지점비율 12% <40% → 일반상호 제외,Y
대왕상회,8,0.00,,부산광역시 동구 조방로 48(범일동),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
건강약국,8,0.00,,부산광역시 부산진구 자유평화로 7 (범천동),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
포인트,8,0.00,,부산광역시 부산진구 자유평화로 7 (범천동),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
라온,8,0.00,,부산광역시 부산진구 골드테마길 2(범천동),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
아우라,8,0.00,,부산광역시 부산진구 범일로 138(범천동),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
오드리,8,0.00,,부산광역시 수영구 광안해변로15번길 77(남천동),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
제일떡방앗간,8,0.00,,부산광역시 사상구 새벽로168번길 24(감전동),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
함안상회,8,0.00,,부산광역시 사상구 새벽로 141(감전동),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
우리약국,8,0.00,,부산광역시 사상구 새벽로 166(감전동),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
보물섬,8,0.00,,부산광역시 사상구 광장로 7 (괘법동),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
보물창고,8,0.00,,부산광역시 사상구 광장로 7 (괘법동),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
샤인,8,0.00,,부산광역시 사상구 광장로 7 (괘법동),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
엔젤,8,0.00,,부산광역시 사상구 광장로 7 (괘법동),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
소문난왕족발,8,0.00,,부산광역시 부산진구 백양대로60번길 1 (당감동),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
베스띠벨리,8,0.38,,부산광역시 부산진구 가야대로 지하777 (부전동),제외,빈도 8·지점비율 38% <40% → 일반상호 제외,Y
영천상회,8,0.00,,부산광역시 부산진구 중앙대로755번길 10 (부전동),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
충남식품,8,0.00,,부산광역시 부산진구 새싹로14번길 64 (부전동),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
하림닭집,8,0.00,,부산광역시 북구 낙동대로1776번길 28 (구포동),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
우먼로드,8,0.00,,경기도 평택시 안중읍 안현로서2길 24,제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
월드마트,8,0.00,,경기도 평택시 통복시장2로 12(통복동),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
소문난떡집,8,0.00,,경기도 안성시 중앙로372번길 26 (석정동),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
자매식당,8,0.00,,경기도 평택시 서정역로25번길 17 (서정동),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
아담만두,8,0.38,,경기도 평택시 정암로 15 (서정동),제외,빈도 8·지점비율 38% <40% → 일반상호 제외,Y
원할머니보쌈,8,0.38,,경기도 평택시 이충로 49-33 (이충동),제외,빈도 8·지점비율 38% <40% → 일반상호 제외,Y
페리카나치킨,8,0.12,,경기도 화성시 우정읍 조암서로22번길 21,제외,빈도 8·지점비율 12% <40% → 일반상호 제외,Y
황소곱창,8,0.00,,경기도 용인시 처인구 이동읍 백옥대로 628,제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
행복한밥상,8,0.00,,경기도 수원시 권선구 세권로 185 (권선동),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
고봉민김밥인,8,0.38,,경기도 수원시 영통구 태장로 77 (망포동),제외,빈도 8·지점비율 38% <40% → 일반상호 제외,Y
부여상회,8,0.00,,경기도 수원시 팔달구 매산로20번길 26(매산로2가),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
김가네,8,0.38,,경기도 이천시 안흥로 53 (갈산동),제외,빈도 8·지점비율 38% <40% → 일반상호 제외,Y
바다한스푼,8,0.00,,경기도 수원시 장안구 수성로261번길 30(정자동),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
대도상회,8,0.00,,경기도 수원시 장안구 월드컵로428번길 19(연무동),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
만원족발,8,0.00,,경기도 시흥시 정왕시장길 52 (정왕동),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
경기상회,8,0.00,,인천광역시 남동구 장도로 86-17 (논현동),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
옛날누룽지,8,0.00,,경기도 안양시 만안구 박달로525번길 27 (박달동),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
국산멸치,8,0.00,,경기도 안양시 만안구 장내로 125(안양동),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
사계절,8,0.00,,인천광역시 연수구 독배로40번길 35 (옥련동),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
태평선식,8,0.00,,인천광역시 남동구 만수로37번길 8-5(만수동),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
다온축산,8,0.00,,인천광역시 남동구 용천로168번길 25(간석동),제외,빈도 8·지점비율 0% <40% → 일반상호 제외,Y
곱분이곱창,8,0.38,,서울특별시 구로구 경인로47길 14(고척동),제외,빈도 8·지점비율 38% <40% → 일반상호 제외,Y
늘푸른야채,7,0.00,,부산광역시 사하구 장림시장5길 91(장림동),제외,빈도 7·지점비율 0% <40% → 일반상호 제외,Y
우진상회,7,0.00,,부산광역시 사하구 옥천로 8(감천동),제외,빈도 7·지점비율 0% <40% → 일반상호 제외,Y
화이트,7,0.00,,부산광역시 영도구 절영로49번길 61(영선동2가),제외,빈도 7·지점비율 0% <40% → 일반상호 제외,Y
바다양푼이동태탕,7,0.29,,부산광역시 영도구 절영로49번길 35-1 (남항동1가),제외,빈도 7·지점비율 29% <40% → 일반상호 제외,Y
우정상회,7,0.00,,부산광역시 강서구 신포길 13-2(명지동),제외,빈도 7·지점비율 0% <40% → 일반상호 제외,Y
미즈,7,0.00,,"부산광역시 사하구 하신중앙로 265 (하단동, 가락타운2·3단지)",제외,빈도 7·지점비율 0% <40% → 일반상호 제외,Y
팝콘,7,0.00,,부산광역시 사하구 사하로198번길 37 (괴정동),제외,빈도 7·지점비율 0% <40% → 일반상호 제외,Y
제일식당,7,0.00,,부산광역시 중구 부평1길 64-2 (부평동2가),제외,빈도 7·지점비율 0% <40% → 일반상호 제외,Y
시장상회,7,0.00,,부산광역시 서구 충무대로256번길 13(충무동1가),제외,빈도 7·지점비율 0% <40% → 일반상호 제외,Y
중앙사,7,0.00,,부산광역시 중구 부평3길 34(부평동1가),제외,빈도 7·지점비율 0% <40% → 일반상호 제외,Y
레인보우,7,0.00,,부산광역시 중구 국제시장2길 15(신창동4가),제외,빈도 7·지점비율 0% <40% → 일반상호 제외,Y
거제상회,7,0.00,,부산광역시 서구 해안새벽시장길 40(충무동1가),제외,빈도 7·지점비율 0% <40% → 일반상호 제외,Y
로즈마리,7,0.00,,부산광역시 중구 구덕로 72(남포동6가),제외,빈도 7·지점비율 0% <40% → 일반상호 제외,Y
늘푸른약국,7,0.00,,부산광역시 중구 자갈치로 33(남포동6가),제외,빈도 7·지점비율 0% <40% → 일반상호 제외,Y
제일상사,7,0.00,,부산광역시 서구 구덕로295번길 17(서대신동2가),제외,빈도 7·지점비율 0% <40% → 일반상호 제외,Y
매일상회,7,0.00,,부산광역시 중구 자갈치로 42(남포동5가),제외,빈도 7·지점비율 0% <40% → 일반상호 제외,Y
