브랜드명,총건수,지점명비율,표기변형목록,대표주소예시,판정,판정근거,경계사례
프랭크버거,18,0.94,,서울특별시 종로구 평창11길 3 (평창동),브랜드,빈도 18·지점비율 94% ≥40% → 브랜드 확정,
슈올즈,18,0.78,,서울특별시 중구 남대문시장4길 9 (남창동),브랜드,빈도 18·지점비율 78% ≥40% → 브랜드 확정,
돈까스짱,18,0.72,,서울특별시 광진구 자양로15길 83(자양동),브랜드,빈도 18·지점비율 72% ≥40% → 브랜드 확정,
이디야커피,17,1.00,,서울특별시 종로구 북촌로5길 39 (화동),브랜드,빈도 17·지점비율 100% ≥40% → 브랜드 확정,
백억커피,17,0.82,,서울특별시 광진구 동일로20길 82 (자양동),브랜드,빈도 17·지점비율 82% ≥40% → 브랜드 확정,
우지커피,17,1.00,,서울특별시 광진구 자양번영로6길 68 (자양동),브랜드,빈도 17·지점비율 100% ≥40% → 브랜드 확정,
처갓집양념치킨,17,1.00,,서울특별시 동대문구 서울시립대로4길 27 (전농동),브랜드,빈도 17·지점비율 100% ≥40% → 브랜드 확정,
백소정,17,0.94,,서울특별시 동대문구 장한로2길 7 (장안동),브랜드,빈도 17·지점비율 94% ≥40% → 브랜드 확정,
에이바헤어,17,0.82,,서울특별시 중랑구 봉우재로14길 31 (면목동),브랜드,빈도 17·지점비율 82% ≥40% → 브랜드 확정,
롯데리아,17,0.88,,서울특별시 중랑구 양원역로14길 19 (망우동),브랜드,빈도 17·지점비율 88% ≥40% → 브랜드 확정,
청년다방,16,0.69,,서울특별시 광진구 동일로20길 64 (자양동),브랜드,빈도 16·지점비율 69% ≥40% → 브랜드 확정,
가마치통닭,16,0.69,,서울특별시 성북구 동소문로20길 16-7(동소문동5가),브랜드,빈도 16·지점비율 69% ≥40% → 브랜드 확정,
탕화쿵푸마라탕,16,0.69,,서울특별시 성북구 고려대로24길 9 (안암동5가),브랜드,빈도 16·지점비율 69% ≥40% → 브랜드 확정,
공차,16,0.88,,서울특별시 강북구 도봉로87길 7 (수유동),브랜드,빈도 16·지점비율 88% ≥40% → 브랜드 확정,
투썸플레이스,16,0.94,,서울특별시 노원구 석계로1길 10 (월계동),브랜드,빈도 16·지점비율 94% ≥40% → 브랜드 확정,
백채김치찌개,15,0.80,,서울특별시 용산구 청파로45길 26 (청파동3가),브랜드,빈도 15·지점비율 80% ≥40% → 브랜드 확정,
으뜸플러스안경,15,1.00,,서울특별시 중랑구 사가정로 399 (면목동),브랜드,빈도 15·지점비율 100% ≥40% → 브랜드 확정,
삼천리자전거,15,0.53,,서울특별시 노원구 동일로 1280 (중계동),브랜드,빈도 15·지점비율 53% ≥40% → 브랜드 확정,
우리할매떡볶이,15,0.80,,서울특별시 노원구 동일로180길 59 (공릉동),브랜드,빈도 15·지점비율 80% ≥40% → 브랜드 확정,
국수나무,15,0.67,,서울특별시 구로구 천왕로 42 (천왕동),브랜드,빈도 15·지점비율 67% ≥40% → 브랜드 확정,
디저트39,14,0.86,,서울특별시 성동구 마조로5길 6 (행당동),브랜드,빈도 14·지점비율 86% ≥40% → 브랜드 확정,
깐부치킨,14,0.64,,서울특별시 성동구 성수일로8길 42 (성수동2가),브랜드,빈도 14·지점비율 64% ≥40% → 브랜드 확정,
다이소,14,0.86,아성다이소,서울특별시 동대문구 고산자로 441 (제기동),브랜드,빈도 14·지점비율 86% ≥40% → 브랜드 확정,
태후사랑,14,0.50,,서울특별시 중랑구 공릉로 60(묵동),브랜드,빈도 14·지점비율 50% ≥40% → 브랜드 확정,
설빙,14,0.93,,서울특별시 중랑구 사가정로51길 38(면목동),브랜드,빈도 14·지점비율 93% ≥40% → 브랜드 확정,
복호두,14,0.71,,서울특별시 성북구 장월로1길 113 (하월곡동),브랜드,빈도 14·지점비율 71% ≥40% → 브랜드 확정,
푸라닭,14,1.00,,서울특별시 도봉구 방학로3길 114 (쌍문동),브랜드,빈도 14·지점비율 100% ≥40% → 브랜드 확정,
족발야시장,14,0.86,,서울특별시 도봉구 방학로3길 124 (쌍문동),브랜드,빈도 14·지점비율 86% ≥40% → 브랜드 확정,
지센,14,0.64,,서울특별시 은평구 응암로 193 (응암동),브랜드,빈도 14·지점비율 64% ≥40% → 브랜드 확정,
60계치킨,14,1.00,,서울특별시 서대문구 이화여대7길 7 (대현동),브랜드,빈도 14·지점비율 100% ≥40% → 브랜드 확정,
미소야,14,0.57,,서울특별시 동작구 동작대로27길 11 (사당동),브랜드,빈도 14·지점비율 57% ≥40% → 브랜드 확정,
다비치안경,14,1.00,,인천광역시 미추홀구 인하로 75 (용현동),브랜드,빈도 14·지점비율 100% ≥40% → 브랜드 확정,
본죽앤비빔밥,14,0.71,,경기도 수원시 장안구 만석로5번길 12-10 (천천동),브랜드,빈도 14·지점비율 71% ≥40% → 브랜드 확정,
봉구스밥버거,13,0.77,,서울특별시 광진구 능동로13길 30 (화양동),브랜드,빈도 13·지점비율 77% ≥40% → 브랜드 확정,
담꾹,12,0.83,,서울특별시 성북구 보국문로11길 33 (정릉동),브랜드,빈도 12·지점비율 83% ≥40% → 브랜드 확정,
으뜸플러스,12,0.67,,서울특별시 성북구 동소문로6길 3 (동소문동2가),브랜드,빈도 12·지점비율 67% ≥40% → 브랜드 확정,
네이처컬렉션,12,0.58,,서울특별시 도봉구 덕릉로 238 (창동),브랜드,빈도 12·지점비율 58% ≥40% → 브랜드 확정,
보배반점,12,0.92,,서울특별시 영등포구 양평로19길 3 (양평동4가),브랜드,빈도 12·지점비율 92% ≥40% → 브랜드 확정,
나이스가이,12,0.67,,서울특별시 관악구 난우길 4 (신림동),브랜드,빈도 12·지점비율 67% ≥40% → 브랜드 확정,
알레르망,11,0.73,,서울특별시 종로구 창경궁로 88(예지동),브랜드,빈도 11·지점비율 73% ≥40% → 브랜드 확정,
매머드 익스프레스,11,1.00,,서울특별시 종로구 종로39길 10-1 (종로6가),브랜드,빈도 11·지점비율 100% ≥40% → 브랜드 확정,
긴자료코,11,0.91,,서울특별시 중구 다산로39길 1 (무학동),브랜드,빈도 11·지점비율 91% ≥40% → 브랜드 확정,
한솥도시락,11,0.64,,서울특별시 성동구 사근동길 68 (사근동),브랜드,빈도 11·지점비율 64% ≥40% → 브랜드 확정,
누구나홀딱반한닭,11,0.64,,서울특별시 광진구 자양번영로 12 (자양동),브랜드,빈도 11·지점비율 64% ≥40% → 브랜드 확정,
또봉이통닭,11,0.55,,서울특별시 동대문구 왕산로2길 18 (신설동),브랜드,빈도 11·지점비율 55% ≥40% → 브랜드 확정,
귀한족발,11,1.00,,서울특별시 중랑구 봉우재로37길 17 (상봉동),브랜드,빈도 11·지점비율 100% ≥40% → 브랜드 확정,
명륜진사갈비,11,0.82,,서울특별시 중랑구 양원역로10길 17 (망우동),브랜드,빈도 11·지점비율 82% ≥40% → 브랜드 확정,
역전할머니맥주,11,0.73,,서울특별시 성북구 보국문로11길 23 (정릉동),브랜드,빈도 11·지점비율 73% ≥40% → 브랜드 확정,
깡우동,11,0.91,,서울특별시 강북구 한천로139나길 1 (수유동),브랜드,빈도 11·지점비율 91% ≥40% → 브랜드 확정,
호주뉴질랜드면세점,11,1.00,,서울특별시 도봉구 도봉로153길 9(방학동),브랜드,빈도 11·지점비율 100% ≥40% → 브랜드 확정,
